DateTime,hr,MST_act,HRHT_act,AHAGOT_act,AHBGOT_act
2024-01-03 15:45:00,31.049213084385464,542.4909489,541.2421471333333,112.2651758,120.19881446666666
2024-01-03 16:00:00,24.12204844598007,541.7454723,540.7737805333333,112.47103853333331,120.58892773333332
2024-01-03 16:15:00,26.084535773698235,540.8951041666667,539.3392128333334,113.4348499,121.37175813333332
2024-01-03 16:30:00,20.358403827153893,533.5855723,536.0379055,116.1226987,124.0365686
2024-01-03 16:45:00,-14.410591841267037,527.5585236666667,527.8037100333333,119.81500556666668,128.0683959333333
2024-01-03 17:00:00,3.3498692884339185,528.3015204333334,530.6609602,118.79584626666669,127.07336516666668
2024-01-03 17:15:00,17.848177497133776,540.0808925,527.9775603666667,117.06598816666668,125.41943616666669
2024-01-03 17:30:00,19.61672289462375,539.4902557,528.2881682666666,115.8408813,124.2856978
2024-01-03 17:45:00,-10.49223665287086,536.8901175666666,525.1727750333333,114.1408946,122.3303896
2024-01-03 18:00:00,-9.045279275562295,543.1874879333333,526.8894592,112.87517103333332,121.01283546666666
2024-01-03 18:15:00,5.166228531164837,542.2080241333333,534.4228696666667,113.15196236666668,121.0881297
2024-01-03 18:30:00,13.25118545451598,540.8906711999999,538.5703243666667,113.47297506666666,121.2544031
2024-01-03 18:45:00,-35.37098575540183,538.1171329666666,530.5348648333334,115.62552036666666,123.0453739
2024-01-03 19:00:00,-62.11324639484567,540.9294248,521.8726718666667,115.7781518,123.91367913333332
2024-01-03 19:15:00,-48.10536831841653,541.1423617,526.598054,115.37017133333332,123.42753123333334
2024-01-03 19:30:00,-33.8564732439411,539.7841490666666,531.6386101666667,114.94324376666668,122.89909573333334
2024-01-03 19:45:00,-25.770062107143115,539.2786760666667,535.5746242,114.93441183333334,123.0924352
2024-01-03 20:00:00,-20.489362308117528,539.3857037333333,533.7922488,114.2907537,122.06398143333332
2024-01-03 20:15:00,-10.07304238035293,539.6368204333334,532.6965986,112.82528183333334,121.37827973333331
2024-01-03 20:30:00,-4.326120440949666,540.1549280333334,533.1876143666667,112.50087266666668,121.14398783333333
2024-01-03 20:45:00,10.44467244839079,542.8191532,534.9358586666667,112.2920834,120.96133426666668
2024-01-03 21:00:00,12.571333749645218,542.3285448,536.4019405,112.43932193333336,120.8903505
2024-01-03 21:15:00,13.714893408629754,542.5298238333334,536.5538065666666,112.62175576666668,120.6695459
2024-01-03 21:30:00,16.377217498451195,543.0736554666668,536.8514935,112.7909844,120.44535703333334
2024-01-03 21:45:00,15.384594789844238,543.005653,537.7986617,112.95981226666667,120.85904453333336
2024-01-03 22:00:00,14.8779191668195,543.1198886666666,538.9317193333333,113.08642616666668,121.4019254
2024-01-03 22:15:00,12.842651559640371,542.9056379,539.2764239666667,113.18470596666668,121.70785109999998
2024-01-03 22:30:00,5.170818591841668,542.3715958666667,537.0892101000001,113.20587046666668,121.71036373333334
2024-01-03 22:45:00,7.542402372870063,542.7622764333333,537.8262038,113.1298479,121.89544589999998
2024-01-03 23:00:00,18.479002943527693,542.9755657,540.3614435333334,112.9144954,121.53652603333336
2024-01-03 23:15:00,25.20199376699006,542.2359252333334,542.0339257,112.5547076,121.29914783333334
2024-01-03 23:30:00,22.47206486532601,541.6163467333333,542.0263985,112.5715241,121.53543506666666
2024-01-03 23:45:00,22.81104349821807,542.0023402666667,541.1562583666667,112.57412496666666,121.2682376
2024-01-04 00:00:00,23.094657146610384,542.2428709666666,540.2821014,112.55090046666668,120.92880173333332
2024-01-04 00:15:00,20.96143136511762,543.3476062999999,542.2577485,114.37159866666669,122.24376966666668
2024-01-04 00:30:00,-33.84201534307705,540.8834677666667,538.831807,117.4627374,125.78624573333336
2024-01-04 00:45:00,-40.36422731015381,541.1270977666667,536.4248339666666,116.56831556666668,125.4642434
2024-01-04 01:00:00,-28.35508469701369,541.5472317,538.5658216,116.29979326666668,125.2767254
2024-01-04 01:15:00,-87.89097456201661,540.2289353,532.4818928333333,119.29913366666668,128.65305983333334
2024-01-04 01:30:00,-65.75978460701623,540.8739078333333,534.5849549999999,118.641233,126.80568213333332
2024-01-04 01:45:00,-46.639871639066456,541.5725247666667,536.3819587333334,117.0821466,126.26758533333332
2024-01-04 02:00:00,-17.238412244090405,541.0231658333333,536.0254084333334,114.17014796666663,123.668024
2024-01-04 02:15:00,20.675463606152487,541.7316759333333,535.8201642666667,111.05056543333336,120.86619966666666
2024-01-04 02:30:00,49.40452990825992,540.9439930333333,535.3992620666667,108.58189516666668,117.4934664
2024-01-04 02:45:00,70.2509281136761,542.5441387999999,537.0606118,107.91458373333334,116.11947023333336
2024-01-04 03:00:00,76.08686705097469,542.0347998,537.9128672333333,107.71322223333334,115.4455205
2024-01-04 03:15:00,76.5597954174019,542.7098035,539.2526606,108.447628,115.5888299
2024-01-04 03:30:00,79.89296576290157,543.038394,540.1214936333333,108.49422086666668,115.54046116666666
2024-01-04 03:45:00,68.71108871508137,541.0191167666667,539.2286917666667,108.03047353333334,116.48460046666666
2024-01-04 04:00:00,60.60300481510552,540.8856232333334,536.9960506333333,107.9981916,116.78040633333336
2024-01-04 04:15:00,55.99013799539056,541.5600457666666,535.0385128666667,108.1665696,116.552761
2024-01-04 04:30:00,60.27401236599111,542.2341851333333,535.8505149333333,108.4846566,116.09921486666668
2024-01-04 04:45:00,73.97470884339639,542.4750365333333,538.6382455666667,108.18445106666668,115.78073243333333
2024-01-04 05:00:00,73.92262593809357,541.5959667333333,536.6542108333333,107.62486993333331,115.07972266666668
